 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : add3_case
Version: H-2013.03-SP3
Date   : Wed Oct 30 16:51:59 2013
****************************************

Operating Conditions: NCCOM   Library: tcbn40lpbwptc
Wire Load Model Mode: segmented

  Startpoint: a[1] (input port)
  Endpoint: y[31] (output port)
  Path Group: (none)
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  genblk1.fa0[10]/U10/ZN (CKND0BWP)        0.04       1.70 f
  genblk1.fa0[10]/U9/ZN (IAO21D0BWP)       0.05       1.75 r
  genblk1.fa0[10]/U8/ZN (OAI21D0BWP)       0.05       1.80 f
  genblk1.fa0[10]/U7/ZN (CKND2D0BWP)       0.03       1.83 r
  genblk1.fa0[10]/cout (bit2_FA_21)        0.00       1.83 r
  genblk1.fa0[11]/c (bit2_FA_20)           0.00       1.83 r
  genblk1.fa0[11]/U10/ZN (CKND0BWP)        0.04       1.86 f
  genblk1.fa0[11]/U9/ZN (IAO21D0BWP)       0.05       1.92 r
  genblk1.fa0[11]/U8/ZN (OAI21D0BWP)       0.05       1.96 f
  genblk1.fa0[11]/U7/ZN (CKND2D0BWP)       0.03       1.99 r
  genblk1.fa0[11]/cout (bit2_FA_20)        0.00       1.99 r
  genblk1.fa0[12]/c (bit2_FA_19)           0.00       1.99 r
  genblk1.fa0[12]/U10/ZN (CKND0BWP)        0.04       2.03 f
  genblk1.fa0[12]/U9/ZN (IAO21D0BWP)       0.05       2.08 r
  genblk1.fa0[12]/U8/ZN (OAI21D0BWP)       0.05       2.13 f
  genblk1.fa0[12]/U7/ZN (CKND2D0BWP)       0.03       2.16 r
  genblk1.fa0[12]/cout (bit2_FA_19)        0.00       2.16 r
  genblk1.fa0[13]/c (bit2_FA_18)           0.00       2.16 r
  genblk1.fa0[13]/U10/ZN (CKND0BWP)        0.04       2.19 f
  genblk1.fa0[13]/U9/ZN (IAO21D0BWP)       0.05       2.25 r
  genblk1.fa0[13]/U8/ZN (OAI21D0BWP)       0.05       2.29 f
  genblk1.fa0[13]/U7/ZN (CKND2D0BWP)       0.03       2.32 r
  genblk1.fa0[13]/cout (bit2_FA_18)        0.00       2.32 r
  genblk1.fa0[14]/c (bit2_FA_17)           0.00       2.32 r
  genblk1.fa0[14]/U10/ZN (CKND0BWP)        0.04       2.36 f
  genblk1.fa0[14]/U9/ZN (IAO21D0BWP)       0.05       2.41 r
  genblk1.fa0[14]/U2/ZN (NR2D0BWP)         0.03       2.45 f
  genblk1.fa0[14]/U1/Z (CKXOR2D0BWP)       0.08       2.53 r
  genblk1.fa0[14]/y[1] (bit2_FA_17)        0.00       2.53 r
  genblk1.fa1[14]/a[1] (bit2_FA_2)         0.00       2.53 r
  genblk1.fa1[14]/U14/ZN (CKND2D0BWP)      0.05       2.58 f
  genblk1.fa1[14]/U13/ZN (OAI21D0BWP)      0.04       2.62 r
  genblk1.fa1[14]/U11/Z (CKMUX2D0BWP)      0.07       2.69 r
  genblk1.fa1[14]/U7/ZN (CKND2D0BWP)       0.03       2.72 f
  genblk1.fa1[14]/cout (bit2_FA_2)         0.00       2.72 f
  genblk1.fa1[15]/c (bit2_FA_1)            0.00       2.72 f
  genblk1.fa1[15]/U10/ZN (CKND0BWP)        0.04       2.76 r
  genblk1.fa1[15]/U9/ZN (IAO21D0BWP)       0.03       2.79 f
  genblk1.fa1[15]/U2/ZN (NR2D0BWP)         0.05       2.84 r
  genblk1.fa1[15]/U1/Z (CKXOR2D0BWP)       0.07       2.92 f
  genblk1.fa1[15]/y[1] (bit2_FA_1)         0.00       2.92 f
  y[31] (out)                              0.00       2.92 f
  data arrival time                                   2.92
  -----------------------------------------------------------
  (Path is unconstrained)


1
